nazev,hlasy abs,hlasy %,zastupitele abs,zastupitele %


Křesťanská a demokratická unie - Československá strana lidová,19 432,"7,54",3,"6,67"
Strana zelených,9 245,"3,59",0,"0,00"
Česká strana sociálně demokratická,73 907,"28,67",17,"37,78"
Komunistická strana Čech a Moravy,26 164,"10,15",5,"11,11"
Občanská demokratická strana,62 330,"24,18",14,"31,11"
"Koruna Česká (monarchistická strana Čech, Moravy a Slezska)",1 528,"0,59",0,"0,00"
"Jiří Vašíček, nezávislý kandidát",397,"0,15",0,"0,00"
Moravané,607,"0,24",0,"0,00"
Suverenita - Strana zdravého rozumu,7 736,"3,00",0,"0,00"
Věci veřejné,12 437,"4,82",0,"0,00"
TOP 09,38 165,"14,80",6,"13,33"
Strana Práv Občanů ZEMANOVCI,4 848,"1,88",0,"0,00"
"REPUBLIKÁNSKÁ STRANA ČECH, MORAVY A SLEZSKA",1 004,"0,39",0,"0,00"
